,Married,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,Loan_Amount_Term,Credit_History,Property_Area,Gender,LoanAmountApproved
256,0.0,0,0.0,6045,0.0,360.0,0.0,0.0,0.0,294374.0
257,1.0,1,0.0,5250,0.0,360.0,1.0,1.0,0.0,436531.0
258,1.0,1,0.0,14683,2100.0,360.0,1.0,0.0,0.0,805445.0
263,0.0,1,0.0,7200,0.0,360.0,1.0,0.0,1.0,363748.0
265,0.0,1,0.0,4095,3447.0,360.0,1.0,0.0,0.0,202359.0
267,1.0,1,0.0,4333,1811.0,360.0,0.0,1.0,0.0,309697.0
269,0.0,1,0.0,2876,1560.0,360.0,1.0,1.0,1.0,158537.0
270,0.0,1,0.0,3237,0.0,360.0,1.0,1.0,1.0,155658.0
271,1.0,1,0.0,11146,0.0,360.0,1.0,1.0,0.0,698140.0
272,0.0,1,0.0,2833,1857.0,360.0,1.0,0.0,0.0,164487.0
277,1.0,1,0.0,3103,1300.0,360.0,1.0,1.0,0.0,214489.0
280,0.0,0,1.0,4053,2426.0,360.0,0.0,1.0,0.0,215541.0
282,1.0,1,0.0,2301,985.7999878,180.0,1.0,1.0,0.0,231785.0
283,0.0,1,0.0,1811,1666.0,360.0,1.0,1.0,1.0,110311.0
285,0.0,1,0.0,3158,3053.0,360.0,1.0,0.0,0.0,186425.0
287,1.0,1,0.0,3704,2000.0,360.0,1.0,0.0,0.0,221611.0
289,0.0,1,0.0,9508,0.0,360.0,1.0,0.0,0.0,479504.0
290,1.0,1,0.0,3075,2416.0,360.0,1.0,0.0,0.0,157027.0
292,1.0,1,0.0,3153,1560.0,360.0,1.0,1.0,0.0,288964.0
293,0.0,1,0.0,5417,0.0,480.0,0.0,1.0,1.0,335197.0
297,1.0,1,0.0,4666,0.0,360.0,1.0,1.0,1.0,331627.0
298,0.0,1,0.0,5000,2541.0,480.0,1.0,0.0,1.0,307946.0
299,1.0,1,0.0,2014,2925.0,360.0,1.0,1.0,0.0,176352.0
300,1.0,0,0.0,1800,2934.0,360.0,0.0,1.0,0.0,132856.0
302,0.0,1,0.0,5000,0.0,360.0,1.0,0.0,1.0,288224.0
303,1.0,1,0.0,1625,1803.0,360.0,1.0,1.0,0.0,179559.0
304,0.0,1,0.0,4000,2500.0,360.0,1.0,0.0,0.0,162827.0
306,0.0,1,0.0,3762,1666.0,360.0,1.0,0.0,1.0,232305.0
307,0.0,1,0.0,2400,1863.0,360.0,0.0,1.0,1.0,115685.0
308,0.0,1,0.0,20233,0.0,360.0,1.0,0.0,0.0,1085034.0
312,0.0,1,0.0,2507,0.0,360.0,1.0,0.0,1.0,90314.0
315,1.0,0,0.0,3399,1640.0,180.0,1.0,1.0,0.0,255301.0
319,1.0,1,1.0,10000,0.0,360.0,1.0,0.0,0.0,566725.0
324,1.0,1,0.0,15000,0.0,360.0,1.0,0.0,0.0,826283.0
325,1.0,1,1.0,8666,4983.0,360.0,0.0,0.0,0.0,562506.0
326,0.0,1,0.0,4917,0.0,360.0,0.0,0.0,0.0,268955.0
328,1.0,1,0.0,4333,2451.0,360.0,1.0,1.0,1.0,352810.0
329,0.0,1,0.0,2500,0.0,360.0,1.0,1.0,1.0,215556.0
330,0.0,1,0.0,4384,1793.0,360.0,1.0,1.0,0.0,169484.0
332,0.0,1,0.0,2833,0.0,360.0,1.0,1.0,0.0,144720.0
337,1.0,1,1.0,2500,4600.0,360.0,1.0,0.0,0.0,223449.0
340,1.0,0,0.0,2647,1587.0,360.0,1.0,0.0,0.0,201469.0
341,0.0,1,0.0,2378,0.0,360.0,1.0,0.0,1.0,142055.0
342,1.0,0,0.0,4554,1229.0,360.0,1.0,1.0,0.0,286033.0
346,1.0,0,0.0,3523,3230.0,360.0,0.0,0.0,0.0,260724.0
347,1.0,0,0.0,3083,2168.0,360.0,1.0,1.0,0.0,247710.0
349,1.0,1,0.0,2625,6250.0,360.0,1.0,0.0,0.0,200398.0
351,0.0,1,0.0,8750,4167.0,360.0,1.0,0.0,0.0,435895.0
352,1.0,1,0.0,2666,2083.0,360.0,1.0,0.0,0.0,214510.0
353,1.0,1,1.0,5500,0.0,360.0,0.0,0.0,1.0,371099.0
355,0.0,1,0.0,3813,0.0,180.0,1.0,1.0,1.0,215302.0
356,1.0,1,0.0,8333,3167.0,360.0,1.0,0.0,0.0,459503.0
357,1.0,1,0.0,3875,0.0,360.0,1.0,1.0,0.0,311653.0
358,1.0,0,0.0,3000,1666.0,480.0,0.0,1.0,0.0,229434.0
362,1.0,1,0.0,4750,2333.0,360.0,1.0,1.0,0.0,310086.0
364,0.0,1,1.0,6822,0.0,360.0,1.0,0.0,0.0,340687.0
365,0.0,0,0.0,6216,0.0,360.0,1.0,0.0,0.0,313645.0
369,1.0,1,0.0,19730,5266.0,360.0,1.0,0.0,0.0,1061130.0
372,1.0,1,1.0,9323,7873.0,300.0,1.0,0.0,0.0,520431.0
373,0.0,1,0.0,3062,1987.0,180.0,0.0,1.0,0.0,163354.0
375,1.0,1,0.0,4817,923.0,180.0,1.0,1.0,0.0,372234.0
376,1.0,1,0.0,8750,4996.0,360.0,1.0,0.0,0.0,520388.0
378,0.0,1,0.0,3069,0.0,480.0,1.0,1.0,0.0,154226.0
379,1.0,1,0.0,5391,0.0,360.0,1.0,1.0,0.0,371260.0
382,0.0,1,0.0,6000,0.0,360.0,1.0,1.0,1.0,251821.0
383,0.0,1,1.0,7167,0.0,360.0,1.0,1.0,0.0,443353.0
384,1.0,1,0.0,4566,0.0,360.0,1.0,1.0,0.0,331427.0
388,1.0,1,0.0,2333,2417.0,360.0,1.0,1.0,0.0,189861.0
389,1.0,1,0.0,5488,0.0,360.0,1.0,0.0,0.0,370672.0
390,0.0,1,0.0,9167,0.0,360.0,1.0,0.0,0.0,438806.0
391,1.0,1,0.0,9504,0.0,360.0,1.0,0.0,0.0,598605.0
394,1.0,1,0.0,3100,1400.0,360.0,1.0,1.0,0.0,233028.0
396,0.0,1,0.0,3180,0.0,360.0,0.0,1.0,1.0,181443.0
397,1.0,1,0.0,3033,1459.0,360.0,1.0,1.0,0.0,187847.0
398,0.0,0,0.0,3902,1666.0,360.0,1.0,0.0,0.0,188023.0
400,1.0,0,0.0,2889,0.0,180.0,0.0,1.0,0.0,202200.0
401,0.0,0,0.0,2755,0.0,300.0,1.0,0.0,0.0,118769.0
404,0.0,1,1.0,7441,0.0,360.0,1.0,0.0,1.0,382277.0
406,1.0,0,0.0,2167,2400.0,360.0,1.0,1.0,0.0,220274.0
407,0.0,0,0.0,2213,0.0,360.0,1.0,0.0,1.0,88330.0
409,1.0,1,0.0,81000,0.0,360.0,0.0,0.0,0.0,4083451.0
412,1.0,0,0.0,6096,0.0,360.0,0.0,0.0,0.0,334189.0
413,1.0,0,0.0,2253,2033.0,360.0,1.0,0.0,0.0,181148.0
415,0.0,1,0.0,2995,0.0,360.0,1.0,1.0,1.0,121131.0
416,0.0,1,0.0,2600,0.0,360.0,1.0,1.0,1.0,132112.0
417,1.0,1,1.0,1600,20000.0,360.0,1.0,1.0,0.0,176582.0
418,1.0,1,0.0,1025,2773.0,360.0,1.0,0.0,0.0,147818.0
420,1.0,1,0.0,5829,0.0,360.0,1.0,0.0,0.0,370120.0
422,1.0,1,0.0,1820,1719.0,360.0,1.0,1.0,0.0,145488.0
425,1.0,1,0.0,2666,4300.0,360.0,1.0,0.0,0.0,209134.0
426,0.0,0,0.0,4606,0.0,360.0,1.0,0.0,1.0,275433.0
428,1.0,1,0.0,2920,16.12000084,360.0,1.0,0.0,0.0,228509.0
429,0.0,0,0.0,2717,0.0,180.0,1.0,1.0,0.0,121000.0
431,0.0,1,0.0,6500,0.0,360.0,0.0,0.0,0.0,329139.0
434,0.0,1,0.0,3750,0.0,360.0,1.0,1.0,0.0,190514.0
438,0.0,1,1.0,10416,0.0,360.0,0.0,1.0,0.0,585463.0
439,1.0,0,1.0,7142,0.0,360.0,1.0,0.0,1.0,455758.0
441,1.0,1,0.0,7901,1833.0,360.0,1.0,0.0,0.0,444054.0
445,1.0,1,1.0,3466,1210.0,360.0,1.0,0.0,0.0,239696.0
446,1.0,0,0.0,4652,0.0,360.0,1.0,0.0,0.0,345278.0
448,1.0,1,0.0,3340,1710.0,360.0,0.0,0.0,0.0,227326.0
450,1.0,0,0.0,2309,1255.0,360.0,0.0,0.0,0.0,238317.0
452,1.0,1,0.0,3948,1733.0,360.0,0.0,0.0,0.0,185942.0
453,1.0,1,0.0,2483,2466.0,180.0,0.0,0.0,0.0,247665.0
456,1.0,1,0.0,4301,0.0,360.0,1.0,1.0,0.0,289526.0
457,1.0,1,0.0,3708,2569.0,360.0,1.0,1.0,0.0,321268.0
458,0.0,1,0.0,4354,0.0,360.0,1.0,0.0,0.0,313659.0
461,1.0,1,0.0,7740,0.0,180.0,1.0,1.0,0.0,523361.0
462,1.0,1,0.0,3015,2188.0,360.0,1.0,0.0,0.0,249997.0
465,0.0,1,0.0,6000,0.0,360.0,1.0,0.0,0.0,250031.0
466,1.0,0,0.0,2947,1664.0,180.0,0.0,1.0,0.0,213098.0
469,1.0,1,0.0,4333,2451.0,360.0,1.0,1.0,0.0,287435.0
471,1.0,0,0.0,2653,1500.0,180.0,0.0,0.0,0.0,156142.0
474,0.0,1,0.0,5532,4648.0,360.0,1.0,0.0,0.0,225784.0
475,1.0,1,1.0,16525,1014.0,360.0,1.0,0.0,0.0,941821.0
480,0.0,0,0.0,4350,0.0,360.0,1.0,0.0,1.0,222899.0
481,1.0,0,0.0,3095,0.0,360.0,1.0,0.0,0.0,207707.0
485,1.0,0,0.0,1958,2436.0,360.0,1.0,0.0,0.0,232629.0
486,0.0,1,0.0,3547,0.0,360.0,0.0,0.0,0.0,270541.0
487,1.0,1,0.0,18333,0.0,360.0,1.0,1.0,0.0,1006959.0
489,0.0,1,0.0,2435,0.0,360.0,1.0,1.0,0.0,159010.0
492,0.0,0,0.0,3691,0.0,360.0,1.0,0.0,0.0,220495.0
494,1.0,1,0.0,3597,2157.0,360.0,0.0,0.0,0.0,324780.0
496,1.0,0,0.0,2600,1700.0,360.0,1.0,0.0,0.0,168777.0
499,0.0,1,0.0,6283,4416.0,360.0,0.0,0.0,0.0,401216.0
500,0.0,1,0.0,645,3683.0,480.0,1.0,0.0,1.0,82655.0
505,1.0,1,0.0,3510,4416.0,360.0,1.0,0.0,0.0,218467.0
508,1.0,1,1.0,2479,3013.0,360.0,1.0,1.0,0.0,227381.0
509,0.0,1,0.0,13262,0.0,360.0,1.0,1.0,1.0,659061.0
510,0.0,0,0.0,3598,1287.0,360.0,1.0,0.0,0.0,268336.0
512,1.0,1,0.0,3283,2035.0,360.0,1.0,1.0,0.0,315396.0
514,0.0,1,0.0,5815,3666.0,360.0,1.0,0.0,0.0,368845.0
515,1.0,1,0.0,3466,3428.0,360.0,1.0,0.0,0.0,339517.0
519,0.0,0,0.0,3400,0.0,360.0,1.0,0.0,1.0,187727.0
522,1.0,1,1.0,5677,1424.0,360.0,1.0,0.0,0.0,367290.0
523,1.0,1,1.0,7948,7166.0,360.0,1.0,0.0,0.0,485567.0
525,1.0,1,1.0,17500,0.0,360.0,1.0,0.0,0.0,977455.0
531,1.0,1,0.0,4281,0.0,360.0,1.0,1.0,0.0,306717.0
532,0.0,1,0.0,3588,0.0,360.0,0.0,0.0,0.0,238651.0
534,0.0,0,1.0,18165,0.0,360.0,1.0,1.0,1.0,920911.0
536,1.0,1,0.0,6133,3906.0,360.0,1.0,1.0,0.0,327194.0
538,1.0,0,0.0,2917,536.0,360.0,1.0,0.0,0.0,206258.0
539,1.0,1,0.0,6417,0.0,180.0,1.0,0.0,0.0,409193.0
543,1.0,0,0.0,2239,2524.0,360.0,1.0,1.0,0.0,148093.0
545,1.0,1,0.0,2768,1950.0,360.0,1.0,0.0,0.0,235081.0
547,0.0,1,0.0,2526,1783.0,360.0,1.0,0.0,0.0,107896.0
549,1.0,1,0.0,2785,2016.0,360.0,1.0,0.0,0.0,206680.0
552,1.0,1,0.0,3333,3250.0,360.0,1.0,1.0,0.0,258007.0
553,1.0,0,0.0,2454,2333.0,360.0,0.0,1.0,0.0,185075.0
554,1.0,1,0.0,3593,4266.0,180.0,0.0,0.0,0.0,298626.0
562,1.0,1,0.0,5923,2054.0,360.0,1.0,0.0,0.0,359393.0
564,1.0,1,0.0,8799,0.0,360.0,0.0,1.0,0.0,540489.0
566,0.0,1,0.0,3333,0.0,360.0,1.0,1.0,0.0,144570.0
567,1.0,1,0.0,3400,2500.0,360.0,0.0,0.0,0.0,213412.0
568,0.0,1,0.0,2378,0.0,360.0,1.0,1.0,1.0,162366.0
569,1.0,1,0.0,3166,2064.0,360.0,0.0,1.0,0.0,213510.0
570,1.0,1,0.0,3417,1750.0,360.0,1.0,1.0,0.0,286474.0
571,1.0,1,0.0,5116,1451.0,360.0,0.0,1.0,0.0,315873.0
572,1.0,1,0.0,16666,0.0,360.0,1.0,1.0,0.0,914725.0
575,1.0,1,0.0,3159,461.0,84.0,1.0,1.0,0.0,268559.0
577,0.0,1,0.0,3229,2739.0,360.0,1.0,1.0,0.0,155277.0
578,1.0,1,0.0,1782,2232.0,360.0,1.0,0.0,0.0,190257.0
581,0.0,1,0.0,1836,33837.0,360.0,1.0,1.0,0.0,124721.0
584,1.0,1,0.0,2787,1917.0,360.0,0.0,0.0,0.0,261781.0
585,1.0,1,0.0,4283,3000.0,84.0,1.0,0.0,0.0,348541.0
586,1.0,1,0.0,2297,1522.0,360.0,1.0,1.0,0.0,178513.0
593,1.0,1,0.0,3859,3300.0,180.0,1.0,0.0,0.0,318802.0
594,1.0,1,1.0,16120,0.0,360.0,1.0,1.0,0.0,918754.0
595,0.0,0,0.0,3833,0.0,360.0,1.0,0.0,0.0,177434.0
596,1.0,0,1.0,6383,1000.0,360.0,1.0,0.0,0.0,449976.0
598,1.0,1,1.0,9963,0.0,360.0,1.0,0.0,0.0,596977.0
599,1.0,1,0.0,5780,0.0,360.0,1.0,1.0,0.0,378954.0
602,1.0,1,0.0,5703,0.0,360.0,1.0,1.0,0.0,368989.0
603,0.0,1,0.0,3676,4301.0,360.0,1.0,0.0,0.0,217961.0
607,1.0,0,0.0,3987,1411.0,360.0,1.0,0.0,0.0,260268.0
608,1.0,1,0.0,3232,1950.0,360.0,1.0,0.0,0.0,234568.0
609,0.0,1,0.0,2900,0.0,360.0,1.0,0.0,1.0,112928.0
610,1.0,1,0.0,4106,0.0,180.0,1.0,0.0,0.0,292763.0
611,1.0,1,0.0,8072,240.0,360.0,1.0,1.0,0.0,475431.0
612,1.0,1,0.0,7583,0.0,360.0,1.0,1.0,0.0,523493.0
